ID,Cost
1,393.6536274
2,504.3756809
3,581.0762977
4,587.4012816
5,391.5515304
6,588.4827727
7,503.6086014
8,325.3135794
9,396.3039609
10,378.2691379
11,417.8142637
12,377.2532569
13,744.2456082
14,670.9240154
15,393.4628008
16,390.7944174
17,587.9845181
18,503.5887112
19,582.2215574
20,517.1461271
21,361.8082432
22,301.4322208
23,574.1897253
24,326.5409759
25,574.5596011
26,796.8478168
27,517.6215154
28,394.0001759
29,671.7488336
30,301.3677952
31,832.2377277
32,581.8271663
33,395.9512312
34,505.174087
35,377.7708832
36,503.1154196
37,587.3721708
38,573.5233171
39,588.4477362
40,301.3677952
41,583.5384202
42,377.8675934
43,360.8246906
44,378.3122053
45,377.7802804
46,588.3819177
47,672.2301312
48,302.7071718
49,503.5992865
50,671.7497523
51,518.0947937
52,376.3689066
53,393.5134152
54,587.9929966
55,672.445029
56,671.2523471
57,573.5626413
58,503.642778
59,582.1873241
60,376.648642
61,503.61708
62,391.2245557
63,588.0032302
64,697.9295699
65,420.4579608
66,588.0023115
67,503.1282225
68,744.2768709
69,394.2013198
70,302.6786288
71,393.571179
72,327.4455141
73,673.0448052
74,586.5617203
75,300.2779645
76,745.2515076
77,301.3500018
78,830.7124873
79,671.2511991
80,671.7310401
81,503.9194167
82,588.4940034
83,300.6753371
84,589.1678851
85,393.1366913
86,502.2290801
87,573.532632
88,582.2899171
89,360.8162121
90,670.5330762
91,581.8578861
92,671.0539121
93,394.7311985
94,671.8521302
95,830.0234549
96,390.6619313
97,377.7793618
98,392.8551642
99,503.5980262
100,574.553921
101,574.2035846
102,503.1273038
103,392.0365703
104,672.3974483
105,582.1686119
106,671.5666247
107,671.4899396
108,588.4350392
109,376.5338033
110,672.3935142
111,689.3632015
112,832.3266959
113,582.667703
114,671.7225616
115,391.7188334
116,574.2159972
117,797.6267472
118,795.8871436
119,301.3906616
120,744.7344657
121,392.1577793
122,671.7310401
123,301.9311292
124,503.61708
125,573.8069157
126,394.0480553
127,301.3771924
128,301.8660499
129,326.5440736
130,418.6097385
131,395.3704748
132,378.2691379
133,582.6583881
134,583.4151029
135,391.0684358
136,390.91243
137,672.6706602
138,395.1709168
139,832.1840883
140,671.7260835
141,795.480429
142,392.7528631
143,390.6179786
144,797.4676101
145,504.7627519
146,504.1237774
147,697.7359808
148,671.1185871
149,588.3734392
150,672.7244659
151,673.0157969
152,419.1571037
153,301.3677952
154,503.1154196
155,301.1494149
156,589.1411747
157,581.9949505
158,795.506701
159,572.3585362
160,831.4363734
161,745.0545224
162,392.1753697
163,573.5148385
164,393.0943087
165,832.2284128
166,301.8397779
167,697.9086787
168,502.6091675
169,587.9929966
170,326.7126682
171,324.9892379
172,391.057278
173,745.4132766
174,697.2471234
175,392.2430463
176,504.4889749
177,670.7449601
178,582.1779269
179,391.4022061
180,391.8483986
181,503.3308352
182,502.7384929
183,326.0990105
184,744.535848
185,573.5470198
186,301.8660499
187,573.8585886
188,831.4541669
189,502.6329691
190,503.6395352
191,326.8941999
192,588.6856768
193,671.6852575
194,672.2408151
195,671.7310401
196,672.9043147
197,697.1188973
198,697.2724767
199,501.743224
200,582.8226075
201,831.8019829
202,396.1358905
203,393.5387685
204,588.4742942
205,327.8832244
206,394.4570173
207,503.5313031
208,301.7742579
209,574.9072139
210,301.841816
211,391.4960346
212,574.9867948
213,503.1238982
214,418.2536267
215,324.8887668
216,573.5554984
217,301.6942887
218,325.9838165
219,503.5980262
220,392.6759487
221,504.8658123
222,325.8691869
223,391.0829865
